창고별 시즌재고조회_ajl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브랜드,품목소분류,품명,품번,카테고리2,규격,품번(규격),상품번호(샵바이),성별,시즌,최초입고일,입고일,소비자가,품목내부코드,WMS 현재고,소진율,가용재고,POS연동바코드,대기,대기(부산),대기(신사),매장 (부산),매장 (신사동),물류센터,반품,불량창고(물류센터),오픈임시분류,포이즌,B2B 창고
노다,신발(노다),001A,001A-SKY-M,신발,270,001A-SKY-M(270),132872626,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31848,0,0.0,2,990497800682,0,0,0,1,1,0,0,0,0,0,0
노다,신발(노다),001A,001A-SKY-M,신발,280,001A-SKY-M(280),132872626,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31850,0,0.0,1,990497800705,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),001A,001A-SKY-M,신발,285,001A-SKY-M(285),132872626,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31851,0,0.0,2,990497800712,0,0,0,1,1,0,0,0,0,0,0
노다,신발(노다),001A,001A-SKY-W,신발,250,001A-SKY-W(250),132872624,"남,여",26SS,2026-02-09,2026-02-09,"399,000.00",31781,0,0.0,1,990497800613,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),001A,001-CALCITE-M,신발,265,001-CALCITE-M(265),131491123,남성,25FW,2025-08-26,2025-08-26,"399,000.00",21635,0,0.0,1,872236014423,0,0,0,0,0,1,0,0,0,0,0
노다,신발(노다),001A,001-LOAM-M,신발,260,001-LOAM-M(260),131491124,남성,25FW,2025-08-26,2025-08-26,"399,000.00",21655,0,0.0,1,872236014621,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),001A,001-LOAM-M,신발,290,001-LOAM-M(290),131491124,남성,25FW,2025-08-26,2025-08-26,"399,000.00",21661,0,0.0,1,872236014683,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),002,002-CINDER-M,신발,285,002-CINDER-M(285),131750751,남성,25FW,2025-09-24,2025-09-24,"399,000.00",21702,0,0.0,1,872236008392,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),005,005-COMET-M,신발,260,005-COMET-M(260),133217923,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31930,0,0.0,2,990497802136,0,0,0,1,1,0,0,0,0,0,0
노다,신발(노다),005,005-COMET-M,신발,265,005-COMET-M(265),133217923,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31931,0,0.0,2,990497802143,0,0,0,1,1,0,0,0,0,0,0
노다,신발(노다),005,005-COMET-M,신발,270,005-COMET-M(270),133217923,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31932,0,0.0,2,990497802150,0,0,0,1,1,0,0,0,0,0,0
노다,신발(노다),005,005-COMET-M,신발,275,005-COMET-M(275),133217923,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31933,0,0.0,1,990497802167,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),005,005-COMET-M,신발,280,005-COMET-M(280),133217923,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31934,0,0.0,1,990497802174,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),005,005-COMET-M,신발,285,005-COMET-M(285),133217923,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31935,0,0.0,1,990497802181,0,0,0,1,0,0,0,0,0,0,0
노다,신발(노다),005,005-LASER-M,신발,260,005-LASER-M(260),133217787,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31909,0,0.0,1,990497801924,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),005,005-LASER-M,신발,270,005-LASER-M(270),133217787,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31911,0,0.0,1,990497801948,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),005,005-LASER-M,신발,275,005-LASER-M(275),133217787,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31912,0,0.0,1,990497801955,0,0,0,0,1,0,0,0,0,0,0
노다,신발(노다),005,005-LASER-M,신발,280,005-LASER-M(280),133217787,남성,26SS,2026-03-16,2026-03-16,"429,000.00",31913,0,0.0,1,990497801962,0,0,0,1,0,0,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-M,신발,260,005-STBLACK-M(260),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41121,1,0.0,3,990497806257,0,1,0,0,1,1,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-M,신발,265,005-STBLACK-M(265),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41122,2,0.0,4,990497806264,0,1,0,0,1,2,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-M,신발,270,005-STBLACK-M(270),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41123,4,0.0,10,990497806271,0,3,0,0,3,4,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-M,신발,275,005-STBLACK-M(275),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41124,6,0.0,12,990497806288,0,3,0,0,3,6,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-M,신발,280,005-STBLACK-M(280),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41125,6,0.0,12,990497806295,0,3,0,0,3,6,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-M,신발,285,005-STBLACK-M(285),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41126,1,0.0,3,990497806301,0,1,0,0,1,1,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-W,신발,235,005-STBLACK-W(235),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41137,0,0.0,2,990497806172,0,1,0,0,1,0,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-W,신발,240,005-STBLACK-W(240),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41138,1,0.0,5,990497806189,0,2,0,0,2,1,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-W,신발,245,005-STBLACK-W(245),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41139,2,0.0,6,990497806196,0,2,0,0,2,2,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-W,신발,250,005-STBLACK-W(250),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41140,2,0.0,4,990497806202,0,1,0,0,1,2,0,0,0,0,0
노다,신발(노다),005,005-STBLACK-W,신발,255,005-STBLACK-W(255),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41141,1,0.0,3,990497806219,0,1,0,0,1,1,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-M,신발,260,005-ZEPHYR-M(260),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41079,1,0.0,3,990497805816,0,1,0,0,1,1,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-M,신발,265,005-ZEPHYR-M(265),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41080,1,0.0,3,990497805823,0,1,0,0,1,1,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-M,신발,270,005-ZEPHYR-M(270),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41081,4,0.0,8,990497805830,0,2,0,0,2,4,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-M,신발,275,005-ZEPHYR-M(275),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41082,5,0.0,8,990497805847,0,2,0,0,1,5,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-M,신발,280,005-ZEPHYR-M(280),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41083,5,0.0,9,990497805854,0,2,0,0,2,5,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-M,신발,285,005-ZEPHYR-M(285),,남성,26FW,2026-08-28,2026-08-28,"429,000.00",41084,1,0.0,3,990497805861,0,1,0,0,1,1,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-W,신발,235,005-ZEPHYR-W(235),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41095,1,0.0,1,,0,0,0,0,0,1,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-W,신발,240,005-ZEPHYR-W(240),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41096,2,0.0,4,990497805748,0,1,0,0,1,2,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-W,신발,245,005-ZEPHYR-W(245),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41097,3,0.0,5,990497805755,0,1,0,0,1,3,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-W,신발,250,005-ZEPHYR-W(250),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41098,1,0.0,3,990497805762,0,1,0,0,1,1,0,0,0,0,0
노다,신발(노다),005,005-ZEPHYR-W,신발,255,005-ZEPHYR-W(255),,여성,26FW,2026-08-28,2026-08-28,"429,000.00",41099,0,0.0,2,990497805779,0,1,0,0,1,0,0,0,0,0,0
노다,용품(노다),008,008-NEVE-U,용품,280,008-NEVE-U(280),131038554,공용,25FW,2025-06-27,2025-06-27,"179,000.00",21756,0,0.0,3,872236015390,0,0,0,0,3,0,0,0,0,0,0
가민,용품(가민),포러너 55,010-02562-50,용품,1SIZE,010-02562-50(1SIZE),123228485,공용,24FW,2024-08-29,2024-10-21,"169,000.00",10140,0,0.0,2,753759283322,0,0,0,0,2,0,0,0,0,0,0
가민,용품(가민),포러너 55,010-02562-51,용품,1SIZE,010-02562-51(1SIZE),123228492,공용,24FW,2024-08-29,2024-10-21,"169,000.00",10141,0,0.0,1,753759283339,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 55,010-02562-53,용품,1SIZE,010-02562-53(1SIZE),123228488,공용,24FW,2024-08-29,2024-10-21,"169,000.00",10157,0,0.0,1,753759283353,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),인스팅트 2,010-02626-50,용품,1SIZE,010-02626-50(1SIZE),123235580,공용,24FW,2024-08-29,2024-10-21,"229,000.00",10142,0,0.0,2,753759293888,0,0,0,0,1,1,0,0,0,0,0
가민,용품(가민),인스팅트 2 카모 에디션,010-02626-53,용품,1SIZE,010-02626-53(1SIZE),123235581,공용,24FW,2024-08-29,2024-10-21,"229,000.00",10143,0,0.0,1,753759293918,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 965,010-02809-70,용품,1SIZE,010-02809-70(1SIZE),123228174,공용,25SS,2025-05-08,2025-05-08,"819,000.00",10148,0,0.0,3,753759318390,0,0,0,0,3,0,0,0,0,0,0
가민,용품(가민),포러너 965,010-02809-71,용품,1SIZE,010-02809-71(1SIZE),123228293,공용,25SS,2025-05-08,2025-05-08,"819,000.00",10149,0,0.0,1,753759318406,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 965,010-02809-72,용품,1SIZE,010-02809-72(1SIZE),123228175,공용,25SS,2025-05-08,2025-05-08,"819,000.00",10150,0,0.0,1,753759318413,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 265 뮤직,010-02810-50,용품,1SIZE,010-02810-50(1SIZE),123228295,공용,25SS,2025-10-10,2025-10-10,"589,000.00",10151,0,0.0,1,753759318635,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 265S 뮤직,010-02810-53,용품,1SIZE,010-02810-53(1SIZE),133394587,공용,26SS,2026-04-10,2026-04-10,"589,000.00",34230,0,0.0,1,753759318666,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 265S 뮤직 (DEMO),010-02810-53-demo,용품,1SIZE,010-02810-53-demo(1SIZE),,공용,26SS,2026-04-10,2026-04-10,"589,000.00",34237,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0
가민,용품(가민),포러너 165,010-02863-AC,용품,1SIZE,010-02863-AC(1SIZE),133394582,공용,26SS,2026-04-10,2026-05-20,"399,000.00",34232,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 165,010-02863-AD,용품,1SIZE,010-02863-AD(1SIZE),133394581,공용,26SS,2026-04-10,2026-05-20,"399,000.00",34233,0,0.0,3,,0,0,0,1,2,0,0,0,0,0,0
가민,용품(가민),포러너 165 뮤직,010-02863-B0,용품,1SIZE,010-02863-B0(1SIZE),123228303,공용,24FW,2024-08-29,2024-10-21,"459,000.00",10155,0,0.0,1,753759336813,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 165 뮤직,010-02863-B1,용품,1SIZE,010-02863-B1(1SIZE),123228298,공용,24FW,2024-08-29,2024-10-21,"459,000.00",10156,0,0.0,7,753759336820,0,0,0,0,7,0,0,0,0,0,0
가민,용품(가민),피닉스 8 43mm,010-02903-17,용품,1SIZE,010-02903-17(1SIZE),129512897,공용,24FW,2024-09-11,2024-10-21,"1,690,000.00",10323,1,0.0,2,,0,0,0,0,1,1,0,0,0,0,0
가민,용품(가민),피닉스 8 47mm,010-02904-18,용품,1SIZE,010-02904-18(1SIZE),129512898,공용,24FW,2024-09-11,2024-10-21,"1,690,000.00",10324,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),피닉스 8 47mm,010-02904-28,용품,1SIZE,010-02904-28(1SIZE),129512899,공용,24FW,2024-09-11,2024-10-21,"1,690,000.00",10325,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),피닉스 8 51mm,010-02905-64,용품,1SIZE,010-02905-64(1SIZE),129512902,공용,24FW,2024-09-11,2024-10-21,"1,890,000.00",10326,1,0.0,3,,0,0,0,0,2,1,0,0,0,0,0
가민,용품(가민),인스팅트 3 45mm,010-02936-40,용품,1SIZE,010-02936-40(1SIZE),132872590,공용,25SS,2025-02-20,2025-02-20,"669,000.00",17450,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),인스팅트 3 45mm (DEMO),010-02936-40DEMO,용품,1SIZE,010-02936-40DEMO(1SIZE),,공용,25SS,2025-02-20,2025-02-20,"669,000.00",17451,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 970,010-02969-60,용품,1SIZE,010-02969-60(1SIZE),130429700,공용,25FW,2025-10-17,2025-10-17,"1,089,000.00",19728,0,0.0,1,753759354695,0,0,0,1,0,0,0,0,0,0,0
가민,용품(가민),포러너 970,010-02969-60-DEMO,용품,1SIZE,010-02969-60-DEMO(1SIZE),,공용,25SS,2025-05-26,2025-05-26,"1,089,000.00",19740,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 970 (DEMO),010-02969-61-DEMO,용품,1SIZE,010-02969-61-DEMO(1SIZE),,공용,25SS,2025-05-26,2025-05-26,"1,089,000.00",19741,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 970,010-02969-62,용품,1SIZE,010-02969-62(1SIZE),130429751,공용,25FW,2025-10-17,2025-10-17,"1,089,000.00",19730,0,0.0,1,753759354718,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 970 (DEMO),010-02969-62-DEMO,용품,1SIZE,010-02969-62-DEMO(1SIZE),,공용,25SS,2025-05-26,2025-05-26,"1,089,000.00",19742,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 570 42mm,010-02970-40,용품,1SIZE,010-02970-40(1SIZE),133418393,공용,26SS,2026-04-10,2026-04-10,"799,000.00",34231,2,0.0,6,753759354459,0,0,0,4,0,2,0,0,0,0,0
가민,용품(가민),포러너 570 42mm (DEMO),010-02970-40-DEMO,용품,1SIZE,010-02970-40-DEMO(1SIZE),,공용,26SS,2026-04-10,2026-04-10,"800,800.00",19734,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0
가민,용품(가민),포러너 570 42mm,010-02970-41,용품,1SIZE,010-02970-41(1SIZE),133418392,공용,26SS,2026-04-10,2026-04-10,"799,000.00",34234,0,0.0,1,753759354466,0,0,0,1,0,0,0,0,0,0,0
가민,용품(가민),포러너 570 42mm (DEMO),010-02970-41-DEMO,용품,1SIZE,010-02970-41-DEMO(1SIZE),,공용,26SS,2026-04-10,2026-04-10,"800,800.00",19735,0,0.0,1,,0,0,0,1,0,0,0,0,0,0,0
가민,용품(가민),포러너 570 (DEMO),010-02970-42-DEMO,용품,1SIZE,010-02970-42-DEMO(1SIZE),,공용,25SS,2025-05-26,2025-05-26,"799,000.00",19736,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 570 47mm,010-02971-40,용품,1SIZE,010-02971-40(1SIZE),130429770,공용,26SS,2026-04-10,2026-04-10,"799,000.00",19731,6,0.0,10,753759354572,0,0,0,4,0,6,0,0,0,0,0
가민,용품(가민),포러너 570 47mm (DEMO),010-02971-40-DEMO,용품,1SIZE,010-02971-40-DEMO(1SIZE),,공용,25SS,2025-05-26,2025-05-26,"799,000.00",19737,0,0.0,2,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 570 47mm (DEMO),010-02971-40-DEMO,용품,1SIZE,010-02971-40-DEMO(1SIZE),,공용,26SS,2026-04-10,2026-04-10,"799,000.00",19737,0,0.0,2,,0,0,0,1,0,0,0,0,0,0,0
가민,용품(가민),포러너 570 47mm,010-02971-41,용품,1SIZE,010-02971-41(1SIZE),130429783,공용,26SS,2026-04-10,2026-04-10,"799,000.00",19732,3,0.0,5,753759354589,0,0,0,2,0,3,0,0,0,0,0
가민,용품(가민),포러너 570 47mm (DEMO),010-02971-41-DEMO,용품,1SIZE,010-02971-41-DEMO(1SIZE),,공용,25SS,2025-05-26,2025-05-26,"799,000.00",19738,0,0.0,2,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 570 47mm (DEMO),010-02971-41-DEMO,용품,1SIZE,010-02971-41-DEMO(1SIZE),,공용,26SS,2026-04-10,2026-04-10,"799,000.00",19738,0,0.0,2,,0,0,0,1,0,0,0,0,0,0,0
가민,용품(가민),포러너 570 47mm,010-02971-42,용품,1SIZE,010-02971-42(1SIZE),130430440,공용,25FW,2025-10-17,2025-10-17,"799,000.00",19733,0,0.0,1,753759354596,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),포러너 570 47mm (DEMO),010-02971-42-DEMO,용품,1SIZE,010-02971-42-DEMO(1SIZE),,공용,25SS,2025-05-26,2025-05-26,"799,000.00",19739,0,0.0,1,,0,0,0,0,1,0,0,0,0,0,0
가민,용품(가민),피닉스 E 47mm,010-03025-14,용품,1SIZE,010-03025-14(1SIZE),129512903,공용,24FW,2024-10-21,2024-10-21,"1,190,000.00",12144,5,0.0,5,,0,0,0,0,0,5,0,0,0,0,0
가민,용품(가민),포러너 170,010-03920-50,용품,1SIZE,010-03920-50(1SIZE),133710770,공용,26SS,2026-05-26,2026-05-26,"479,000.00",36322,1,0.0,3,,0,0,0,1,1,1,0,0,0,0,0
가민,용품(가민),"Forerunner 170, GPS, Black/Amp Yellow, KOR/SEA,A05206 데모",010-03920-50DEMO,용품,1SIZE,010-03920-50DEMO(1SIZE),,공용,26SS,2026-05-26,2026-05-26,"527,560.00",36323,0,0.0,2,,0,0,0,1,1,0,0,0,0,0,0
가민,용품(가민),포러너 170,010-03920-51,용품,1SIZE,010-03920-51(1SIZE),133689273,공용,26SS,2026-05-26,2026-05-26,"479,000.00",36324,1,0.0,3,,0,0,0,1,1,1,0,0,0,0,0
